title,link,source,date,snippet,page
IS teenage bride Shamima Begum gives birth to boy,https://www.bbc.com/news/uk-47270857,BBC,17 Feb 2019,"IS teenage bride Shamima Begum gives birth to boy ... Shamima Begum, one of three teenage girls to flee east London for a new life with the Islamic State group,...",1
Shamima Begum has right to return to UK - Jeremy Corbyn,https://www.bbc.com/news/uk-47319763,BBC,21 Feb 2019,"Shamima Begum has right to return to UK - Jeremy Corbyn ... Shamima Begum, who left the UK to join the Islamic State group in Syria aged 15, has a ""right to...",1
Father of teen IS bride Amira Abase: 'Let the teenagers into UK',https://www.bbc.com/news/av/uk-47246926,BBC,14 Feb 2019,"The father of one of three teenage jihadi brides from East London who joined Islamic State, has broken down in tears at the news that his daughter may still be...",1
Shamima Begum: Illustrator banned from Etsy over card,https://www.bbc.com/news/uk-england-derbyshire-47337793,BBC,23 Feb 2019,Samuel Hague Illustration. The Mother's Day card featuring Shamima Begum led to Samuel Hague's ban from Etsy.,1
Shamima Begum: IS British bride says she's sorry for deaths,https://www.bbc.com/news/av/world-47282536/shamima-begum-is-british-bride-says-she-s-sorry-for-deaths,BBC,18 Feb 2019,"Shamima Begum: IS British bride says she's sorry for deaths. Shamima Begum, the schoolgirl who fled London to join the Islamic State group in Syria, has said...",1
Shamima Begum: Letter from family to the home secretary,https://www.bbc.com/news/uk-england-47326715,BBC,21 Feb 2019,"Shamima Begum: Letter from family to the home secretary ... Shamima Begum's sister Renu has written a letter to Home Secretary Sajid Javid, which has been seen by...",1
Shamima Begum case: How do you deradicalise someone?,https://www.bbc.com/news/uk-47289562,BBC,20 Feb 2019,"She said: ""Unfortunately, even the deradicalisation programme we have for returnees - which is a Desistance and Disengagement programme - incentivises people in...",1
Shamima Begum: What can the UK do about the IS teenager?,https://www.bbc.com/news/uk-47240100,BBC,14 Feb 2019,"Shamima Begum was legally a child when she went to join Islamic State. And if she were still under 18 years of age, the government would have a duty to take her...",1
Shamima Begum: IS teenager's family challenge citizenship move,https://www.bbc.com/news/uk-47326496,BBC,22 Feb 2019,Shamima Begum: IS teenager's family challenge citizenship move ... The family of Shamima Begum - who left the UK to join the Islamic State group in Syria - have...,1
Shamima Begum: Family of pregnant IS teen plead for return,https://www.bbc.com/news/uk-47260916,BBC,16 Feb 2019,"In a statement issued on Friday, her family said they had previously ""lost all hope"" of seeing Ms Begum again, saying she had risked ""imprisonment and death"" in...",1
Who will take IS fighter and his teenage 'bride'?,https://www.bbc.com/news/world-europe-47385353,BBC,1 Mar 2019,Yago Riedijk was born and raised in Dutch suburbia. He is one of 135 Dutch nationals still in Syria.,2
