article_id,title,processed_title,cluster,topic_label,url,media_name
f54b9e8def272281d744369e4d86c5f02c97885313ef45e4f38375bc3cd4ccbb,"Home Office ‘chaos’ as at least 55,500 asylum seekers stuck in new Rwanda backlog","home office chaos 55,500 asylum seeker stick new rwanda backlog",0,Small boats,https://www.independent.co.uk/news/uk/home-news/rwanda-asylum-backlog-home-office-b2503190.html,independent.co.uk
3fb873a2db13501ca00dd078fffaa8ed7468bcc63889f231fb757cb81bdba2a2,Home Office accused of cover-up over ‘golden visas’ for super-rich Russians,home office accuse cover golden visa super rich russians,0,Small boats,https://www.theguardian.com/politics/2024/feb/24/home-office-accused-of-cover-up-over-golden-visas-for-super-rich-russians,theguardian.com
5f69c25c777ecfceae21ddc6cef589d4e4aa81d8277a5876616638d90fdabeb0,Home Office refuses to send confiscated small boats to help war in Ukraine,home office refuse send confiscate small boat help war ukraine,0,Small boats,https://www.express.co.uk/news/politics/1868049/home-office-small-boats-migrant-crisis-war-ukraine,express.co.uk
36e8e305bdeba2b7e43858b4adacb8e8c266a7af36ac32536efaa02ef2291b71,Home Office to pay TikTok influencers to warn migrants not to cross the Channel,home office pay tiktok influencer warn migrant cross channel,0,Small boats,https://www.independent.co.uk/news/uk/politics/home-office-pay-tiktok-influencers-migrants-b2495703.html,independent.co.uk
ae90394e4b28937d09334706cc208b2f2d6ab834a2fc5e031907e36deea0fc50,Judge criticises Home Office errors in Palestinian refugee’s visa case,judge criticise home office error palestinian refugee visa case,0,Small boats,https://www.theguardian.com/politics/2024/feb/13/judge-criticises-home-office-errors-in-palestinian-refugees-visa-case,theguardian.com
5fe17f3ab9eb138c9029fb21bbe9cf08ac12122c90c392b5c68db20dad3a3b29,Watchdog lambasts Australian Border Force and home affairs deportation procedures,watchdog lambast australian border force home affair deportation procedure,0,Small boats,https://www.theguardian.com/australia-news/2024/feb/07/watchdog-lambasts-australian-border-force-and-home-affairs-deportation-procedures,theguardian.com
10a9981060fd712f00c49fe89d6b8ef804c6ed9a435e24a6eb4b06ce8ac4b95d,'They need to spend money!' Immigration Barrister explains Home Office 'Rwanda Files',need spend money immigration barrister explain home office rwanda file,0,Small boats,https://www.gbnews.com/news/rwanda-files-farage-immigration-asylum,gbnews.com
16c7feee5f6a2939fcfb47b11c4f581c728a6fd65b5611edffe7ee3e889a8882,Nigel Farage blasts Rishi Sunak as he exposes Home Office 'Rwanda Files': 'Wilfully deceived the nation!',nigel blast expose home office rwanda file wilfully deceive nation,0,Small boats,https://www.gbnews.com/politics/nigel-farage-rishi-sunak-home-office-rwanda-files,gbnews.com
cbe49128c9a5f8e29bae7966aabc480f05a954c2ed7e1f638bb5c9314fd7286f,Rishi Sunak’s small boats plan suffers blow as Home Office deems Turkey unsafe,small boat plan suffer blow home office deem turkey unsafe,0,Small boats,https://www.independent.co.uk/news/uk/politics/rishi-sunak-small-boats-turkey-unsafe-b2489305.html,independent.co.uk
a76f12b1937a34eebc0f4985a0b34098288bc6b9b5d07175c5872073bc2c1577,"Number of migrants sent to Rwanda could be ‘quite low’, home secretary admits",number migrant send rwanda low home secretary admit,0,Small boats,https://www.independent.co.uk/news/uk/politics/rwanda-flights-sunak-cleverly-tories-b2487991.html,independent.co.uk
ece97ebc5aa0e25fe060b6c504a7a8b3c2ea22fd94d25b6a357b81aee719c366,The Home Office Rwanda stance is a riddle without a solution,home office rwanda stance riddle solution,0,Small boats,https://www.independent.co.uk/news/uk/politics/politics-explained/home-office-alice-looking-glass-rwanda-b2486269.html,independent.co.uk
2a98bef432f26ad3ba731699cc935fbd4700fa607ffb00713e403367045b6bb6,Author of Rwanda book says she fears attacks at home amid ‘orchestrated’ backlash,author rwanda book fear attack home amid orchestrated backlash,0,Small boats,https://www.independent.co.uk/news/uk/home-news/rwanda-book-author-michela-wrong-b2486168.html,independent.co.uk
94d6252954bd4ba93c97a695232b61a784e7501982829f4760ff7fce3bd63d32,‘Inhumane’ Home Office denying visas to children of migrant health workers,inhumane home office deny visa child migrant health worker,0,Small boats,https://www.theguardian.com/uk-news/2024/jan/20/inhumane-home-office-denying-visas-to-children-of-migrant-health-workers,theguardian.com
83c925621d9d055a74a0a4502993b54dfd2705be67cce7794cc341d34e66199a,Home Office hires hangar for staff to practise Rwanda deportations,home office hire hangar staff practise rwanda deportation,0,Small boats,https://www.theguardian.com/politics/2024/jan/19/home-office-hires-hangar-for-staff-to-practise-rwanda-deportations,theguardian.com
da04fbdfbdc22d8006e74d12bfb85325aa84c2684870f9c1faceb780f064851c,Home Office hires dummy plane to practice forcing migrants onto Rwanda flights,home office hire dummy plane practice force migrant rwanda flight,0,Small boats,https://www.independent.co.uk/news/uk/politics/rwanda-asylum-deportation-rishi-suank-home-office-b2481340.html,independent.co.uk
4072283ad40750d07aa84cfc688100ab80f590ee0c0225533455281cdd3caeab,Why Home Office visa plans will be ‘nail in the coffin’ for UK hospitality,home office visa plan nail coffin uk hospitality,0,Small boats,https://www.theguardian.com/business/2024/jan/11/why-home-office-visa-plans-nail-in-coffin-uk-hospitality,theguardian.com
253f8ae0389e9da28128b8b0d0585950622572d776119169f9aed1642e0e639c,‘Sign of weakness’: Home Office U-turn on visa salary threshold divides Tories,sign weakness home office u turn visa salary threshold divide tory,0,Small boats,https://www.theguardian.com/politics/2023/dec/22/sign-of-weakness-home-office-u-turn-on-visa-salary-threshold-divides-tories,theguardian.com
639c5a0f471792b951557a46736cdcac24c303dd67065d6221d0507317b9c4c2,Home Office accused of ‘chaos’ after U-turn on salary threshold for family visa,home office accuse chaos u turn salary threshold family visa,0,Small boats,https://www.theguardian.com/uk-news/2023/dec/21/home-office-reduces-earning-threshold-hike-for-family-visa,theguardian.com
62a617031e74f14688e8586da6d6ae5677226292c347868f2bdf8079c10d6b1a,"Home Office will spend £700m on small boats plan, contracts reveal",home office spend £ 700 m small boat plan contract,0,Small boats,https://www.independent.co.uk/news/uk/politics/home-office-rwanda-small-boats-cost-b2462006.html,independent.co.uk
54e97ca977ba972909f3c999626580bf65b1365315a229a58076bc31dbd83a76,Home Office ordered to give full cost of Rwanda deportation plan,home office order cost rwanda deportation plan,0,Small boats,https://www.theguardian.com/uk-news/2023/dec/08/sunak-didnt-mislead-mps-over-costs-of-rwanda-deportation-plan-says-no-10,theguardian.com
b2e702be9a9c18d084d139ba04cfb00e64d549a375ec152645b5d0e135e8684e,Wednesday briefing: Inside the Home Office’s new Rwanda plan – and why it might not work,wednesday briefing inside home office new rwanda plan work,0,Small boats,https://www.theguardian.com/world/2023/dec/06/wednesday-briefing-first-edition-james-cleverly-rwanda-plan,theguardian.com
